"TABLE_NAME","COLUMN_NAME"
"account_credential_link","default_credential"
"account_credential_link","ref_type"
"account_credential_link","role_id"
"account_credential_link","user_id"
"account_credential_link","credential_id"
"account_credential_link","account_id"
"account_credential_link","external_id"
"account_credential_option_type","account_credential_type_id"
"account_credential_option_type","option_type_id"
"account_credential_type","id"
"account_credential_type","editable"
"account_credential_type","code"
"account_credential_type","auth_type"
"account_credential_type","name_code"
"account_credential_type","name"
"account_credential_type","category"
"account_credential_type","creatable"
"account_credential_type","enabled"
"account_credential_type","external_type"
"account_credential_type","description"
"account_discovery","id"
"account_discovery","processed"
"account_discovery","before_value"
"account_discovery","date_created"
"account_discovery","ref_name"
"account_discovery","action_value_type"
"account_discovery","process_date"
"account_discovery","last_updated"
"account_discovery","look_back_days"
"account_discovery","action_title"
"account_discovery","config"
"account_discovery","ref_date"
"account_discovery","end_date"
"account_discovery","zone_id"
"account_discovery","plan_id"
"account_discovery","status_message"
"account_discovery","user_id"
"account_discovery","ignored"
"account_discovery","site_id"
"account_discovery","severity"
"account_discovery","processed_message"
"account_discovery","resolved_message"
"account_discovery","ref_type"
"account_discovery","ref_id"
"account_discovery","action_message"
"account_discovery","action_value"
"account_discovery","type_id"
"account_discovery","resolved"
"account_discovery","action_type"
"account_discovery","account_id"
"account_discovery","action_category"
"account_discovery","action_plan_id"
"account_discovery","savings"
"account_discovery_type","id"
"account_discovery_type","code"
"account_discovery_type","is_plugin"
"account_discovery_type","can_execute"
"account_discovery_type","plugin_icon_dark_hidpi_path"
"account_discovery_type","branding_image_name"
"account_discovery_type","title"
"account_discovery_type","plugin_icon_dark_path"
"account_discovery_type","plugin_icon_hidpi_path"
"account_discovery_type","plugin_icon_path"
"account_discovery_type","name"
"account_discovery_type","category"
"account_discovery_type","enabled"
"account_discovery_type","description"
"account_domain","id"
"account_domain","verified"
"account_domain","verify_text"
"account_domain","date_created"
"account_domain","last_updated"
"account_domain","active"
"account_domain","domain_name"
"account_group","id"
"account_group","visibility"
"account_group","sort_order"
"account_group","date_created"
"account_group","code"
"account_group","last_updated"
"account_group","group_type"
"account_group","name"
"account_group","active"
"account_group","account_id"
"account_group","description"
"account_integration","id"
"account_integration","service_token"
"account_integration","code"
"account_integration","api_proxy_id"
"account_integration","is_plugin"
"account_integration","uuid"
"account_integration","service_flag"
"account_integration","last_sync_duration"
"account_integration","auth_key_id"
"account_integration","service_version"
"account_integration","service_slave"
"account_integration","service_config"
"account_integration","auth_id"
"account_integration","service_url"
"account_integration","auth_type"
"account_integration","last_sync"
"account_integration","service_password"
"account_integration","next_run_date"
"account_integration","config"
"account_integration","service_throttle_rate"
"account_integration","repo_url"
"account_integration","service_path"
"account_integration","service_command"
"account_integration","status_message"
"account_integration","service_key_id"
"account_integration","service_username"
"account_integration","service_port"
"account_integration","ref_type"
"account_integration","service_windows_version"
"account_integration","sync_interval"
"account_integration","service_type_code"
"account_integration","ref_id"
"account_integration","name"
"account_integration","service_host"
"account_integration","type"
"account_integration","account_id"
"account_integration","integration_type_id"
"account_integration","category"
"account_integration","status"
"account_integration","enabled"
"account_integration","status_date"
"account_integration","service_mode"
"account_integration_object_ref","id"
"account_integration_object_ref","ref_type"
"account_integration_object_ref","uuid"
"account_integration_object_ref","account_integration_id"
"account_integration_object_ref","ref_id"
"account_integration_object_ref","category"
"account_integration_object_ref","config"
"account_integration_object_ref","display_name"
"account_integration_option_type","account_integration_option_types_id"
"account_integration_option_type","option_type_id"
"account_integration_type","id"
"account_integration_type","zone_association_type"
"account_integration_type","integration_service"
"account_integration_type","group_association_type"
"account_integration_type","code"
"account_integration_type","is_plugin"
"account_integration_type","has_reconfigure_approvals"
"account_integration_type","hascmdbdiscovery"
"account_integration_type","hascmdb"
"account_integration_type","cluster_association_type"
"account_integration_type","view_set"
"account_integration_type","plugin_icon_dark_hidpi_path"
"account_integration_type","default_sync_interval"
"account_integration_type","branding_image_name"
"account_integration_type","plugin_icon_dark_path"
"account_integration_type","hasdns"
"account_integration_type","plugin_icon_hidpi_path"
"account_integration_type","plugin_icon_path"
"account_integration_type","name"
"account_integration_type","has_approvals"
"account_integration_type","hascm"
"account_integration_type","category"
"account_integration_type","creatable"
"account_integration_type","enabled"
"account_integration_type","description"
"account_integration_type","has_delete_approvals"
"account_integration_type","is_embedded"
"account_integration_type_option_type","account_integration_type_option_types_id"
"account_integration_type_option_type","option_type_id"
"account_inventory","id"
"account_inventory","visibility"
"account_inventory","item_filter"
"account_inventory","uuid"
"account_inventory","owner_id"
"account_inventory","config"
"account_inventory","ref_type"
"account_inventory","ref_id"
"account_inventory","name"
"account_inventory","type_id"
"account_inventory","description"
"account_inventory","external_id"
"account_inventory_account_inventory_group","account_inventory_groups_id"
"account_inventory_account_inventory_group","account_inventory_group_id"
"account_inventory_account_inventory_item","account_inventory_items_id"
"account_inventory_account_inventory_item","account_inventory_item_id"
"account_inventory_group","id"
"account_inventory_group","ref_type"
"account_inventory_group","uuid"
"account_inventory_group","ref_id"
"account_inventory_group","name"
"account_inventory_group","external_id"
"account_inventory_group_account_inventory_item","account_inventory_group_items_id"
"account_inventory_group_account_inventory_item","account_inventory_item_id"
"account_inventory_item","id"
"account_inventory_item","ref_type"
"account_inventory_item","uuid"
"account_inventory_item","ref_id"
"account_inventory_item","hostname"
"account_inventory_item","name"
"account_inventory_item","external_id"
"account_inventory_type","id"
"account_inventory_type","code"
"account_inventory_type","name"
"account_inventory_type","creatable"
"account_inventory_type","enabled"
